customer_id,plan_type,package_start_date,last_payment_date,monthly_bill,data_usage_gb,avg_call_minutes,complaints,tenure_months
100060,Postpaid,6/16/2021,1/22/2022,2628,42.1,972,4,43
100061,Prepaid,9/25/2022,8/18/2023,2057,30.7,1995,3,27
100062,Postpaid,4/2/2019,5/13/2019,1264,72.2,177,0,70
100063,Prepaid,10/22/2022,4/7/2023,4094,3.1,1592,1,26
100064,Postpaid,8/13/2021,6/3/2022,2030,5.8,1499,0,41
100065,Postpaid,1/18/2023,11/28/2023,3454,83.9,1632,0,23
100066,Postpaid,12/22/2022,10/13/2023,1684,79,614,1,24
100067,Postpaid,5/23/2020,10/23/2020,4605,149.2,1260,1,56
100068,Prepaid,2/14/2021,3/14/2021,6228,31.9,599,4,47
100069,Postpaid,2/4/2019,3/3/2019,5840,40.2,502,2,71
100070,Postpaid,7/25/2019,4/16/2020,4656,18.8,520,0,66
100071,Prepaid,1/9/2022,4/6/2022,3935,137.8,1037,1,36
100072,Postpaid,11/12/2022,11/27/2023,1724,117.1,787,1,26
100073,Prepaid,10/22/2021,4/24/2022,5389,123.7,1638,1,38
100074,Postpaid,10/18/2021,5/9/2022,2346,135.6,1984,0,39
100075,Postpaid,11/14/2022,3/16/2023,1894,79.7,273,1,25
100076,Postpaid,7/19/2020,11/19/2020,3211,68.8,203,3,54
100077,Prepaid,2/3/2022,9/22/2022,3417,50.9,609,1,35
100078,Prepaid,12/3/2020,5/27/2021,1562,89.2,400,0,49
100079,Prepaid,2/6/2020,12/30/2020,3123,69.2,1220,1,59
100080,Postpaid,12/30/2020,5/20/2021,4945,68.8,1978,0,48
100081,Prepaid,6/11/2019,7/9/2020,3575,140.7,1649,2,67
100082,Prepaid,7/21/2019,4/19/2020,5801,147.6,398,0,66
100083,Postpaid,9/22/2021,11/25/2021,5459,119.9,231,1,39
100084,Prepaid,9/27/2019,9/29/2020,5678,114,686,1,64
100085,Postpaid,3/26/2021,8/13/2021,3955,102.7,1067,2,45
100086,Postpaid,7/18/2022,5/11/2023,4770,26.6,228,2,29
100087,Postpaid,3/31/2020,12/31/2020,2840,10.7,1112,1,57
100088,Prepaid,1/25/2023,2/4/2024,1383,104.2,821,0,23
100089,Prepaid,6/29/2022,12/17/2022,6215,109.9,943,2,30
100090,Prepaid,10/13/2021,11/6/2022,5131,9,1076,1,39
100091,Prepaid,10/23/2019,1/27/2020,2903,139.4,1065,3,63
100092,Prepaid,12/20/2020,2/22/2021,2742,15.5,113,2,49
100093,Prepaid,12/4/2019,9/26/2020,5255,44.3,78,0,61
100094,Postpaid,5/28/2021,12/1/2021,909,101.5,421,1,43
100095,Postpaid,12/12/2021,12/5/2022,991,27.1,1596,0,37
100096,Prepaid,3/2/2021,3/19/2021,1703,10.2,146,0,46
100097,Postpaid,8/5/2019,6/30/2020,6012,51,1943,2,65
100098,Postpaid,2/2/2021,12/21/2021,1661,115.4,1515,2,47
100099,Postpaid,7/7/2019,3/19/2020,1883,63.2,1276,0,66
100100,Postpaid,1/15/2020,12/12/2020,1449,98.6,1484,3,60
100101,Prepaid,5/7/2020,1/26/2021,4934,87.8,1042,0,56
100102,Prepaid,11/30/2021,11/2/2022,4411,5.3,70,2,37
100103,Prepaid,3/26/2022,5/28/2022,1436,148.3,1624,0,33
100104,Prepaid,1/15/2019,9/30/2019,1836,8.1,784,2,72
100105,Postpaid,3/6/2019,11/9/2019,4931,145.2,1175,2,70
100106,Postpaid,6/4/2020,1/28/2021,2948,83.4,1119,3,55
100107,Prepaid,9/29/2022,12/14/2022,4665,144.5,115,0,27
100108,Prepaid,2/26/2022,4/27/2022,3957,19,652,0,34
100109,Postpaid,10/9/2020,1/23/2021,4387,74.6,1237,3,51
100110,Prepaid,2/4/2023,5/16/2023,4094,27.1,1184,2,23
100111,Prepaid,12/22/2021,9/21/2022,6257,9.5,387,2,36
100112,Postpaid,3/8/2022,1/2/2023,5061,93.4,172,2,34
100113,Prepaid,8/15/2020,11/28/2020,3230,32.8,1778,1,53
100114,Prepaid,1/27/2020,5/3/2020,2679,89,496,3,60
100115,Prepaid,2/23/2020,5/20/2020,4766,18.6,660,2,59
100116,Postpaid,10/16/2019,8/8/2020,4513,51.1,1364,3,63
100117,Prepaid,1/14/2020,5/22/2020,4926,117.7,720,1,60
100118,Prepaid,8/19/2019,6/25/2020,4906,66.7,1485,1,65
100119,Prepaid,10/14/2021,4/6/2022,2811,94.9,664,0,39
100120,Prepaid,2/10/2019,8/20/2019,4173,97.8,946,0,71
100121,Prepaid,11/17/2021,7/7/2022,2943,126.9,330,0,38
100122,Postpaid,5/15/2019,3/30/2020,3300,50.1,1116,1,68
100123,Prepaid,7/20/2019,8/5/2019,5381,103.7,1559,3,66
100124,Postpaid,2/18/2021,1/23/2022,2089,144.3,645,1,47
100125,Prepaid,7/18/2021,4/16/2022,2247,110.1,752,1,42
100126,Prepaid,11/22/2021,5/11/2022,3999,74.5,1124,0,37
100127,Prepaid,12/7/2021,5/16/2022,2743,95.3,1971,1,37
100128,Prepaid,5/17/2020,8/19/2020,3983,111.5,259,2,56
100129,Prepaid,2/11/2020,7/16/2020,6365,92.6,175,1,59
100130,Prepaid,3/15/2021,7/14/2021,6262,4.5,541,1,46
100131,Prepaid,4/9/2019,5/3/2020,4016,30.8,1582,2,69
100132,Postpaid,11/14/2020,12/29/2020,3936,121.9,1009,4,50
100133,Prepaid,12/26/2020,10/16/2021,4118,42.4,1019,1,48
100134,Postpaid,8/18/2021,3/3/2022,3582,110.3,630,0,41
100135,Postpaid,9/4/2020,12/4/2020,1790,57.1,826,2,52
100136,Prepaid,1/25/2023,2/5/2023,5720,79.2,307,0,23
100137,Prepaid,10/4/2020,11/2/2021,6358,12.1,1261,1,51
100138,Prepaid,10/25/2021,9/2/2022,2953,28.8,279,0,38
100139,Prepaid,5/26/2022,12/18/2022,1025,143.7,238,0,31
100140,Prepaid,5/17/2020,6/6/2020,1576,133.7,1488,1,56
100141,Postpaid,2/5/2021,10/6/2021,3637,98.5,59,0,47
100142,Prepaid,2/2/2020,3/3/2021,6008,70,1187,1,59
100143,Prepaid,5/20/2021,12/10/2021,1487,102,1149,5,44
100144,Postpaid,3/5/2021,7/11/2021,1329,93.6,725,2,46
100145,Prepaid,1/28/2020,2/26/2020,4242,86.1,551,0,60
100146,Postpaid,7/26/2019,4/21/2020,5867,10.8,134,2,66
100147,Prepaid,11/4/2021,9/2/2022,5831,95.7,98,2,38
100148,Prepaid,6/10/2021,3/2/2022,6318,115.8,1568,3,43
100149,Prepaid,1/24/2023,9/12/2023,2953,149.1,887,3,23
100150,Prepaid,5/13/2021,1/3/2022,2094,3.6,1057,2,44
100151,Postpaid,1/12/2021,3/15/2021,2326,110.1,738,0,48
100152,Prepaid,6/18/2022,6/17/2023,5574,86.6,436,2,30
100153,Postpaid,7/17/2020,7/3/2021,3696,66.2,1019,0,54
100154,Prepaid,10/17/2021,10/25/2022,3903,20.9,1462,0,39
100155,Prepaid,4/6/2019,1/20/2020,3240,62.5,1055,1,69
100156,Prepaid,4/29/2020,7/28/2020,4935,54.4,267,1,56
100157,Prepaid,12/1/2022,6/30/2023,4602,46.8,1774,2,25
100158,Postpaid,8/19/2019,2/2/2020,6001,110.2,1054,4,65
100159,Prepaid,1/18/2021,5/27/2021,1644,105.7,1419,0,48
100160,Prepaid,4/9/2022,6/16/2022,1246,89.2,1303,1,33
100161,Prepaid,6/24/2020,2/3/2021,4715,140.9,304,1,55
100162,Prepaid,11/25/2021,4/11/2022,3909,53.8,285,2,37
100163,Prepaid,6/8/2020,1/27/2021,2034,38.1,1099,1,55
100164,Prepaid,3/29/2022,11/2/2022,6246,99.1,1657,0,33
100165,Postpaid,6/20/2022,7/4/2023,1026,31.4,1334,3,30
100166,Prepaid,1/14/2022,5/18/2022,4943,48.6,1839,2,36
100167,Prepaid,7/31/2020,3/6/2021,3759,35.2,320,3,53
100168,Prepaid,11/12/2020,12/5/2020,6358,12.2,172,2,50
100169,Prepaid,7/10/2020,7/28/2020,2630,124.5,705,2,54
100170,Postpaid,10/9/2021,11/27/2021,4579,39.7,1330,0,39
100171,Prepaid,10/7/2020,6/10/2021,986,72,1729,1,51
100172,Prepaid,3/6/2021,12/21/2021,3677,8.4,1494,3,46
100173,Postpaid,11/17/2021,11/20/2022,3335,105.5,308,3,38
100174,Prepaid,9/25/2022,4/23/2023,2732,50.9,997,1,27
100175,Prepaid,9/16/2022,5/29/2023,3724,112.2,96,3,27
100176,Postpaid,10/3/2022,7/17/2023,1648,63,912,2,27
100177,Postpaid,2/5/2023,10/7/2023,2832,31,574,1,23
100178,Postpaid,6/8/2022,6/21/2022,2052,77.9,937,0,31
100179,Prepaid,7/9/2019,12/19/2019,6309,21.3,257,0,66
100180,Prepaid,6/2/2022,7/10/2022,5874,67.2,1384,0,31
100181,Prepaid,11/9/2022,3/7/2023,5912,49,796,1,26
100182,Prepaid,11/1/2022,2/16/2023,2681,137,198,0,26
100183,Postpaid,7/30/2022,3/11/2023,1069,11,1907,3,29
100184,Prepaid,9/24/2020,7/23/2021,2430,104.7,487,1,52
100185,Postpaid,9/19/2020,12/12/2020,5205,29,204,1,52
100186,Postpaid,8/30/2021,7/31/2022,4003,49.2,1751,1,40
100187,Prepaid,7/6/2022,12/8/2022,2374,63.5,1163,2,30
100188,Prepaid,10/14/2022,2/28/2023,5991,136.4,1771,0,27
100189,Postpaid,12/10/2020,11/25/2021,3692,37.9,1903,3,49
100190,Prepaid,1/19/2023,3/11/2023,2495,15.5,407,2,23
100191,Postpaid,12/5/2022,12/5/2023,4058,49.2,1247,3,25
100192,Prepaid,10/10/2020,11/29/2020,4062,17.5,1290,1,51
100193,Prepaid,11/14/2019,12/27/2019,2245,21,1980,1,62
100194,Prepaid,6/2/2022,6/28/2022,1019,86.9,505,0,31
100195,Postpaid,6/11/2022,12/2/2022,852,11,825,1,31
100196,Prepaid,11/14/2020,4/25/2021,2557,6.6,1682,2,50
100197,Postpaid,10/25/2020,11/16/2021,6370,107.7,678,2,50
100198,Prepaid,10/29/2022,1/22/2023,2466,55.5,1272,3,26
100199,Postpaid,2/4/2023,5/11/2023,6156,20.6,881,1,23
100200,Postpaid,6/10/2022,10/14/2022,3585,39.5,535,1,31
100201,Prepaid,2/10/2022,2/16/2023,1519,97,582,0,35
100202,Prepaid,3/17/2020,3/3/2021,1205,42.8,249,3,58
100203,Postpaid,7/17/2020,8/22/2020,3094,75.2,420,0,54
100204,Prepaid,7/15/2022,6/2/2023,871,20,1063,1,30
100205,Postpaid,11/10/2022,9/2/2023,2853,89,902,2,26
100206,Prepaid,11/11/2022,4/3/2023,2029,48.8,1521,1,26
100207,Postpaid,2/10/2022,9/26/2022,2367,94.8,297,0,35
100208,Postpaid,8/9/2021,2/2/2022,4482,121.6,837,1,41
100209,Postpaid,1/9/2022,4/26/2022,3753,92.5,313,4,36
100210,Prepaid,11/29/2020,9/2/2021,5282,45.8,1131,0,49
100211,Prepaid,4/23/2019,12/25/2019,1498,39.9,1375,1,69
100212,Prepaid,1/2/2019,11/16/2019,6096,50.5,80,2,73
100213,Prepaid,10/3/2020,4/3/2021,1626,26.4,1571,2,51
100214,Prepaid,8/8/2019,2/23/2020,1148,28.8,1322,1,65
100215,Prepaid,5/4/2021,9/12/2021,6174,119,654,0,44
100216,Postpaid,6/2/2022,7/27/2022,4708,58.9,1850,1,31
100217,Prepaid,1/20/2020,4/2/2020,1107,66.5,1344,0,60
100218,Prepaid,11/27/2022,4/15/2023,4216,89.9,1679,2,25
100219,Postpaid,2/27/2022,1/12/2023,6046,89.3,1739,1,34
100220,Prepaid,12/12/2021,12/19/2022,3134,12,1467,1,37
100221,Prepaid,12/30/2020,7/20/2021,5661,125.1,1870,2,48
100222,Postpaid,12/10/2022,10/22/2023,5620,28.2,551,1,25
100223,Postpaid,9/4/2019,3/12/2020,3609,109,1665,1,64
100224,Prepaid,4/15/2021,2/10/2022,4358,116.4,1877,1,45
100225,Prepaid,1/2/2023,1/17/2024,5278,107.8,1157,0,24
100226,Postpaid,7/22/2019,5/8/2020,4277,87.7,1438,2,66
100227,Prepaid,4/22/2022,5/30/2022,5420,4.2,935,2,32
100228,Prepaid,5/3/2019,10/8/2019,3486,55.3,598,1,69
100229,Prepaid,2/5/2020,11/7/2020,3785,91.5,1415,2,59
100230,Prepaid,2/5/2021,12/7/2021,1075,59.3,888,0,47
100231,Prepaid,10/21/2019,11/10/2019,3347,129.8,1480,2,63
100232,Prepaid,10/7/2019,3/28/2020,3564,47.7,1498,2,63
100233,Postpaid,6/2/2021,10/2/2021,1136,45.4,1817,2,43
100234,Postpaid,7/17/2019,1/29/2020,2773,41.4,1166,0,66
100235,Prepaid,9/8/2021,7/9/2022,3779,51.3,897,2,40
100236,Postpaid,1/21/2021,9/19/2021,5376,84.5,663,1,48
100237,Postpaid,5/24/2019,1/15/2020,4768,106.6,461,1,68
100238,Prepaid,8/31/2020,7/16/2021,1710,100.1,481,1,52
100239,Prepaid,5/9/2022,8/24/2022,2796,121.5,727,2,32
100240,Postpaid,2/21/2022,4/26/2022,3929,133.1,208,0,34
100241,Prepaid,7/6/2019,11/3/2019,6247,122.8,63,0,66
100242,Postpaid,9/11/2022,2/19/2023,5004,4.8,422,2,28
100243,Prepaid,4/8/2020,12/19/2020,4557,110.9,274,1,57
100244,Postpaid,10/4/2022,12/21/2022,1127,32.8,1578,1,27
100245,Prepaid,10/21/2020,9/7/2021,2599,21.7,1146,0,51
100246,Prepaid,2/2/2021,11/27/2021,1114,96.5,1322,0,47
100247,Postpaid,8/12/2021,4/28/2022,4345,49.3,560,2,41
100248,Prepaid,2/7/2020,3/23/2020,1934,10.5,652,0,59
100249,Prepaid,10/1/2022,6/6/2023,3546,22.4,265,0,27
100250,Prepaid,5/27/2019,10/31/2019,5676,2.1,1675,0,68
100251,Prepaid,3/17/2022,11/8/2022,2320,135.7,1614,1,34
100252,Prepaid,5/13/2021,1/21/2022,955,5.6,1890,1,44
100253,Postpaid,5/3/2020,4/14/2021,6392,33,1037,0,56
100254,Prepaid,7/17/2021,7/26/2022,2524,63.6,1293,0,42
100255,Postpaid,7/4/2020,1/30/2021,4143,54.8,889,0,54
100256,Postpaid,12/4/2019,5/15/2020,1686,136.9,776,1,61
100257,Postpaid,5/21/2021,8/11/2021,3873,8,1294,1,44
100258,Prepaid,10/2/2020,4/30/2021,3605,77.8,1462,3,51
100259,Postpaid,4/17/2020,2/16/2021,1521,102.7,603,2,57
100260,Prepaid,5/31/2019,6/26/2019,1712,139.9,1720,2,68
100261,Postpaid,12/9/2022,4/26/2023,4157,93.8,1115,0,25
100262,Postpaid,8/14/2022,3/28/2023,1670,121,725,0,29
100263,Postpaid,9/20/2019,11/29/2019,4908,14.4,922,1,64
100264,Prepaid,5/24/2019,9/14/2019,1297,59.1,332,2,68
100265,Postpaid,12/12/2019,2/1/2020,2556,57.3,1131,2,61
100266,Prepaid,9/15/2020,10/19/2020,1917,133.2,1887,4,52
100267,Postpaid,10/13/2021,11/30/2021,4209,24.4,883,2,39
100268,Postpaid,5/30/2021,3/26/2022,3628,24.5,586,2,43
100269,Prepaid,1/2/2019,5/22/2019,6090,50.6,1146,2,73
100270,Postpaid,6/15/2021,2/8/2022,2447,10.1,1958,1,43
100271,Prepaid,8/20/2022,12/15/2022,6486,29,972,0,28
100272,Prepaid,9/11/2019,3/10/2020,3783,144.9,1202,2,64
100273,Prepaid,3/28/2020,7/17/2020,6386,65.4,1672,2,58
100274,Prepaid,11/26/2021,11/24/2022,942,95.5,891,2,37
100275,Postpaid,3/29/2022,4/19/2022,6120,109.5,1499,2,33
100276,Prepaid,10/11/2021,7/22/2022,3561,56.3,997,0,39
100277,Prepaid,1/9/2019,4/29/2019,4235,23.8,714,2,72
100278,Postpaid,6/10/2022,8/2/2022,5460,32.6,1767,2,31
100279,Postpaid,1/27/2022,12/7/2022,3231,48.4,1198,0,35
100280,Postpaid,3/26/2021,4/21/2021,5312,96.1,116,1,45
100281,Postpaid,7/27/2019,6/30/2020,2648,60.9,55,0,66
100282,Postpaid,2/28/2022,5/5/2022,3496,3,686,1,34
100283,Prepaid,2/8/2020,12/24/2020,2517,79.5,363,1,59
100284,Prepaid,6/1/2019,4/8/2020,6286,138.4,1399,2,68
100285,Postpaid,2/23/2019,3/16/2019,3872,122.2,614,2,71
100286,Prepaid,2/17/2022,1/10/2023,1867,124.1,1651,1,34
100287,Postpaid,9/19/2020,12/17/2020,3586,119.7,875,0,52
100288,Prepaid,8/9/2020,3/22/2021,6017,49.9,555,1,53
100289,Prepaid,12/14/2022,11/27/2023,4591,115.2,1155,0,24
100290,Prepaid,12/16/2022,9/15/2023,2088,23.2,1672,1,24
100291,Postpaid,4/14/2019,9/19/2019,4671,99.3,1075,0,69
100292,Prepaid,9/11/2019,12/10/2019,2606,97,253,0,64
100293,Postpaid,6/4/2022,1/14/2023,2304,5.8,711,2,31
100294,Prepaid,2/9/2022,2/27/2023,4108,118.6,854,4,35
100295,Prepaid,5/24/2020,12/17/2020,5912,135.7,453,1,56
100296,Postpaid,2/5/2023,9/2/2023,5848,41.6,1176,0,23
100297,Postpaid,4/9/2019,5/13/2019,3751,122.2,585,0,69
100298,Prepaid,6/2/2019,9/8/2019,871,14.2,1441,2,68
100299,Postpaid,7/2/2021,4/5/2022,2490,90.8,1285,0,42
100300,Prepaid,5/27/2021,10/26/2021,6187,73.9,626,2,43
100301,Prepaid,12/4/2019,2/10/2020,2144,82.8,1282,5,61
100302,Prepaid,4/1/2021,4/10/2022,4103,139.1,812,0,45
100303,Postpaid,4/1/2022,5/6/2022,3913,131,1970,1,33
100304,Postpaid,8/14/2021,10/9/2021,1682,118.2,166,1,41
100305,Prepaid,6/10/2019,4/2/2020,5034,42.5,677,2,67
100306,Postpaid,3/11/2021,12/11/2021,3462,136.9,798,2,46
100307,Prepaid,2/2/2020,2/27/2020,2304,16.4,1551,0,59
100308,Prepaid,7/24/2022,2/17/2023,3263,128.3,154,1,29
100309,Prepaid,3/26/2021,1/11/2022,3353,50.6,544,2,45
100310,Prepaid,11/16/2022,2/19/2023,1532,10,1844,2,25
100311,Prepaid,3/4/2022,11/18/2022,2548,101.1,95,1,34
100312,Prepaid,5/3/2022,2/6/2023,4724,36.2,872,1,32
100313,Postpaid,2/5/2020,1/14/2021,1223,38,1404,2,59
100314,Prepaid,10/1/2020,2/4/2021,4278,47.3,1289,2,51
100315,Prepaid,11/22/2021,12/8/2021,2391,11.4,1031,3,37
100316,Prepaid,11/18/2020,4/13/2021,5285,28.2,1009,1,50
100317,Prepaid,4/4/2020,4/19/2021,5237,2.8,1565,2,57
100318,Prepaid,8/12/2021,2/13/2022,5841,67.9,1886,0,41
100319,Postpaid,4/14/2020,3/17/2021,5509,14.5,1995,1,57
100320,Prepaid,10/30/2022,9/19/2023,1292,103,894,1,26
100321,Postpaid,11/11/2021,6/23/2022,991,36.9,498,0,38
100322,Postpaid,1/19/2021,4/20/2021,1298,141.6,585,2,48
100323,Prepaid,2/7/2019,9/27/2019,5717,130.9,560,1,71
100324,Postpaid,8/18/2019,9/2/2020,2056,44.8,1531,1,65
100325,Prepaid,10/20/2022,2/9/2023,2768,117.9,1620,2,26
100326,Postpaid,7/16/2020,4/24/2021,5122,120.9,1609,0,54
100327,Prepaid,3/13/2020,4/5/2020,6290,148,589,0,58
100328,Prepaid,7/30/2022,1/14/2023,2986,90.5,1557,2,29
100329,Prepaid,1/27/2019,7/7/2019,1616,14.1,65,1,72
100330,Prepaid,8/14/2019,12/9/2019,4020,97.7,1644,2,65
100331,Prepaid,7/24/2022,2/6/2023,2273,94.5,292,1,29
100332,Prepaid,3/8/2021,1/12/2022,1886,96.5,1280,3,46
100333,Prepaid,10/11/2019,1/26/2020,4999,47.5,961,0,63
100334,Postpaid,5/28/2021,10/15/2021,2674,129.2,1344,2,43
100335,Postpaid,8/17/2021,6/15/2022,1670,144,810,3,41
100336,Prepaid,3/28/2020,9/24/2020,5563,34.2,1852,1,58
100337,Prepaid,10/16/2021,4/26/2022,2842,15,754,0,39
100338,Postpaid,3/26/2021,4/3/2022,1072,30.8,1920,2,45
100339,Postpaid,10/20/2020,12/7/2020,1829,123.4,1803,0,51
100340,Postpaid,6/30/2020,7/24/2020,4018,102.1,164,0,54
100341,Prepaid,4/30/2022,5/20/2023,4869,96.1,1653,2,32
100342,Prepaid,12/8/2021,12/21/2021,1851,61.5,1372,2,37
100343,Prepaid,1/17/2019,1/10/2020,4833,87.5,1910,0,72
100344,Prepaid,4/10/2022,11/15/2022,2373,47.6,1556,2,33
100345,Postpaid,5/28/2022,11/14/2022,3990,72.6,446,3,31
100346,Postpaid,6/7/2019,7/2/2019,5188,119.4,443,1,67
100347,Prepaid,4/21/2020,8/16/2020,4597,147.2,1148,3,57
100348,Postpaid,12/5/2021,12/31/2022,4089,140,1027,0,37
100349,Prepaid,10/28/2022,9/13/2023,4547,140.2,1555,0,26
100350,Prepaid,6/1/2020,1/23/2021,2905,61.5,1176,1,55
100351,Prepaid,4/9/2019,10/5/2019,6188,71.4,346,1,69
100352,Postpaid,11/26/2021,1/8/2022,1107,106.4,1051,1,37
100353,Prepaid,10/7/2019,6/23/2020,4159,138.5,227,2,63
100354,Postpaid,10/4/2022,6/17/2023,5872,23,1288,0,27
100355,Postpaid,5/11/2020,2/13/2021,3976,47,1016,0,56
100356,Prepaid,10/29/2019,3/27/2020,2051,22.6,364,1,63
100357,Prepaid,6/30/2019,4/8/2020,6166,92.6,1112,3,67
100358,Postpaid,8/29/2020,12/12/2020,3547,47.3,308,1,52
100359,Prepaid,1/27/2022,9/20/2022,2317,50.3,1789,2,35
100360,Postpaid,11/30/2020,12/23/2021,6105,12.5,56,1,49
100361,Postpaid,9/19/2021,11/6/2021,2178,53.8,98,1,40
100362,Prepaid,2/13/2022,12/21/2022,5691,129.6,1611,2,35
100363,Prepaid,7/10/2019,8/17/2019,5792,36.5,210,2,66
100364,Postpaid,9/10/2019,8/2/2020,2761,104.9,1942,3,64
100365,Postpaid,9/7/2021,5/19/2022,5105,95.2,225,0,40
100366,Prepaid,7/16/2021,3/18/2022,3663,129.8,1664,3,42
100367,Prepaid,3/30/2022,10/10/2022,3456,21.6,1075,0,33
100368,Prepaid,7/3/2022,4/10/2023,3294,146.7,1050,1,30
100369,Postpaid,9/8/2022,5/11/2023,5863,88.2,1968,0,28
100370,Postpaid,5/8/2019,1/11/2020,5367,149.3,504,2,68
100371,Postpaid,1/18/2019,2/8/2020,4805,136.9,1717,1,72
100372,Prepaid,7/19/2020,4/20/2021,4363,34.8,325,2,54
100373,Prepaid,7/23/2020,7/26/2021,1722,10.3,547,1,54
100374,Postpaid,9/8/2022,8/23/2023,5032,39.8,1702,2,28
100375,Prepaid,11/16/2020,12/19/2021,5262,80.1,725,1,50
100376,Prepaid,9/17/2020,11/30/2020,3759,27.4,1873,2,52
100377,Prepaid,8/4/2022,2/6/2023,983,26.8,1101,2,29
100378,Postpaid,5/3/2021,5/15/2021,4158,70.5,1406,1,44
100379,Postpaid,8/19/2021,1/17/2022,2198,6.9,1074,1,41
100380,Prepaid,6/4/2019,6/23/2020,3596,20,1261,1,67
100381,Prepaid,5/4/2020,10/18/2020,1336,63.5,105,1,56
100382,Postpaid,11/10/2022,10/9/2023,6498,11.3,596,1,26
